Price	Close	Close	Close	High	High	High	Low	Low	Low	Open	Open	Open	Volume	Volume	Volume
Ticker	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE
Date															
02-01-23	153.6267395	93.74308777	119.8321915	153.6267395	93.85856127	120.5337151	150.4837221	92.80007989	119.3891105	151.1504193	93.50252349	119.8506426	22161	923508	837714
03-01-23	150.3884735	94.79194641	120.8660202	153.3410081	95.4558988	122.4167612	149.0550793	93.43516041	120.4044881	152.0076138	93.66610006	120.9767834	48893	1462210	1426478
04-01-23	145.3406372	96.89928436	124.8721085	151.150444	97.28418866	125.1121001	145.2453885	94.87854598	121.6598494	150.7694783	95.0710018	122.5275319	53806	1651526	1523962
05-01-23	143.6262512	97.03400421	124.4659729	147.7216975	98.09249291	125.7767224	143.245271	96.36042717	123.6721371	145.2453771	96.36042717	124.5398197	67153	1223774	1056652
06-01-23	145.8168335	98.47738647	125.6659546	147.3407106	98.47738647	125.6659546	144.4834247	96.43740615	122.6936869	144.4834247	96.88004353	124.52135	43014	1347636	1263457
09-01-23	144.6739197	100.6136017	127.6966858	146.8645087	100.8830325	127.9920731	144.6739197	98.32343239	125.9428696	145.7215971	99.36267184	126.3674712	64173	2172304	1323198
10-01-23	144.1024628	100.7290802	127.512085	145.0548915	101.0370022	127.881305	142.1023567	99.36267679	125.979795	144.3881943	99.57437454	126.699784	55953	1363833	843410
11-01-23	141.6261444	102.615097	129.3766785	145.5311079	102.615097	129.8566617	141.6261444	99.88229039	127.5674665	145.0548935	101.036996	127.8443886	54914	1720861	1164125
12-01-23	142.8643036	102.7113266	131.1304932	144.1976979	103.384911	131.8320309	141.8166262	101.6336033	129.025908	141.8166262	102.153223	129.2289832	51507	1880775	1128810
13-01-23	144.8644104	103.5773621	131.4812622	145.0548932	103.9237752	132.4966243	142.2928413	102.9422761	130.650496	142.5785728	103.2309489	131.5735602	42698	1774166	1278327
16-01-23	144.8644104	103.3656616	131.3704987	146.0073219	103.8660395	132.1089387	143.3405187	102.9807573	130.7981893	144.7691617	103.8660395	131.7766351	28277	952506	796311
17-01-23	147.2454987	103.2501907	133.8442841	147.7217131	104.1931986	134.0842756	144.9596608	102.1724601	130.8535515	144.9596608	103.0192437	130.9643288	38084	1482660	1381539
18-01-23	149.7217865	104.8860321	133.8073883	150.2932495	105.2901784	135.0996725	147.0549833	103.3464221	133.2166278	147.0549833	103.9237749	133.6596947	45516	1656208	1082084
19-01-23	151.4361572	102.4803848	129.7828217	151.4361572	104.5011233	132.9950809	148.1026569	102.0184982	129.635128	149.3408171	104.3856572	132.921234	50663	2203122	1714825
